[13:25:16] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:42)
[13:39:16] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:48)
[13:48:18] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:09:06] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:56)
[23:09:06] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:56)
[23:11:35] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:56)
[23:11:35] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:56)
[23:24:05] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:60)
[23:24:05] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:60)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_tquery: invalid connection handle '0' (./includes/task.pwn:50)
[23:43:02] [ERROR] mysql_format: invalid connection handle '0' (./includes/task.pwn:50)
